# ----------------------------------------
# Exportar informe en formato CSV
# Cuenta: Complex Analysis book
# Propiedad: Complex-Analysis - GA4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20220101
# Fecha de finalización: 20230726

País,Usuarios,Usuarios nuevos,Sesiones con interacción,Porcentaje de interacciones,Sesiones con interacción por usuario,Tiempo de interacción medio,Número de eventos,Conversiones,Total de ingresos
Albania,15,15,7,0.3888888888888889,0.4666666666666667,16.533333333333335,67,0,0
Jamaica,15,15,15,0.5,1,154.73333333333332,200,0,0
North Macedonia,15,15,11,0.6875,0.7333333333333333,22.733333333333334,78,0,0
Palestine,15,15,15,0.7894736842105263,1,88.86666666666666,88,0,0
Sudan,15,16,12,0.75,0.8,22.533333333333335,89,0,0
Kyrgyzstan,14,14,8,0.47058823529411764,0.5714285714285714,56.214285714285715,95,0,0
Qatar,14,15,11,0.6470588235294118,0.7857142857142857,33.5,80,0,0
Bahrain,13,13,9,0.5625,0.6923076923076923,89.46153846153847,71,0,0
Botswana,12,12,13,0.5416666666666666,1.0833333333333333,377.25,206,0,0
Cape Verde,11,11,6,0.42857142857142855,0.5454545454545454,39.45454545454545,59,0,0
Kosovo,10,11,3,0.2727272727272727,0.3,134,51,0,0
Macao,10,9,8,0.5333333333333333,0.8,18.9,58,0,0
Afghanistan,9,9,5,0.5,0.5555555555555556,48,67,0,0
Angola,9,9,5,0.7142857142857143,0.5555555555555556,123.22222222222223,71,0,0
Eswatini,9,9,10,1,1.1111111111111112,381.22222222222223,58,0,0
Montenegro,9,9,4,0.36363636363636365,0.4444444444444444,135.77777777777777,54,0,0
Rwanda,9,9,8,0.8,0.8888888888888888,103.55555555555556,46,0,0
Mozambique,8,8,7,0.7777777777777778,0.875,112.375,53,0,0
Cameroon,7,7,6,0.8571428571428571,0.8571428571428571,78.14285714285714,51,0,0
Guadeloupe,7,6,6,0.6,0.8571428571428571,46.857142857142854,37,0,0
Malta,7,7,3,0.42857142857142855,0.42857142857142855,102.57142857142857,57,0,0
Papua New Guinea,7,6,5,0.7142857142857143,0.7142857142857143,89.71428571428571,29,0,0
Côte d’Ivoire,6,7,3,1,0.5,45.5,60,0,0
Malawi,6,6,5,1,0.8333333333333334,68,26,0,0
Senegal,6,6,4,0.6666666666666666,0.6666666666666666,18.666666666666668,32,0,0
South Sudan,6,6,3,0.42857142857142855,0.5,14.5,27,0,0
St. Lucia,6,6,5,0.7142857142857143,0.8333333333333334,82.5,111,0,0
Barbados,5,5,2,0.25,0.4,27.6,28,0,0
Bhutan,5,5,3,0.6,0.6,30.4,24,0,0
Equatorial Guinea,5,5,2,0.4,0.4,18.4,18,0,0
Jersey,5,5,2,0.3333333333333333,0.4,30.8,30,0,0
Madagascar,5,5,4,1,0.8,24.8,23,0,0
Bahamas,4,3,3,0.75,0.75,28.5,18,0,0
Cayman Islands,4,4,3,0.375,0.75,46.25,41,0,0
Maldives,4,4,3,0.75,0.75,73.5,18,0,0
Somalia,4,4,3,0.3,0.75,16,32,0,0
Suriname,4,4,9,0.6428571428571429,2.25,84.25,60,0,0
Vanuatu,4,3,4,0.8,1,136.25,41,0,0
Aruba,3,3,2,0.6666666666666666,0.6666666666666666,56.666666666666664,13,0,0
British Virgin Islands,3,2,4,1,1.3333333333333333,813.6666666666666,68,0,0
Brunei,3,3,2,0.6666666666666666,0.6666666666666666,9.333333333333334,14,0,0
Curaçao,3,3,3,1,1,14.333333333333334,18,0,0
Fiji,3,3,3,1,1,7.666666666666667,15,0,0
Lesotho,3,3,2,0.5,0.6666666666666666,17.333333333333332,15,0,0
Yemen,3,3,2,0.6666666666666666,0.6666666666666666,48.333333333333336,14,0,0
Bermuda,2,2,2,0.6666666666666666,1,57,11,0,0
Monaco,2,2,2,1,1,78.5,22,0,0
Samoa,2,2,2,1,1,6.5,12,0,0
Benin,1,1,1,1,1,14,5,0,0
Burkina Faso,1,1,0,0,0,66,5,0,0
Congo - Kinshasa,1,1,0,0,0,49,5,0,0
Eritrea,1,1,1,1,1,302,5,0,0
Guyana,1,1,1,1,1,13,5,0,0
Haiti,1,1,1,1,1,63,12,0,0
Isle of Man,1,1,1,1,1,293,5,0,0
Martinique,1,1,0,0,0,0,3,0,0
Nauru,1,0,0,0,0,17,2,0,0
New Caledonia,1,1,0,0,0,5,5,0,0
Niger,1,1,0,0,0,46,5,0,0
Seychelles,1,1,1,1,1,103,8,0,0
Sierra Leone,1,1,0,0,0,0,3,0,0
Sint Maarten,1,1,2,1,2,68,12,0,0
Tajikistan,1,1,0,0,0,31,5,0,0
Togo,1,1,1,1,1,346,17,0,0
Turkmenistan,1,1,2,1,2,25,9,0,0
U.S. Virgin Islands,1,1,1,0.058823529411764705,1,0,52,0,0
